,practice_id,ccg_id,baseline,baseline_ranking,allocation,group_ab,cost_saving_measure
884,H85020,08R,0.1284953395472703,0.8975539568345324,I,A,ppi
882,H85024,08R,0.15855636658556366,0.9660431654676259,I,B,ppi
877,H85026,08R,0.1414790996784566,0.9358273381294964,con,con,ppi
880,H85027,08R,0.14162348877374784,0.9362589928057554,I,B,ppi
881,H85028,08R,0.1282442748091603,0.8964028776978418,con,con,ppi
879,H85037,08R,0.1313591495823842,0.9064748201438849,con,con,ppi
878,H85051,08R,0.11922554347826086,0.8490647482014388,I,B,ppi
885,H85078,08R,0.1532976827094474,0.9589928057553957,con,con,ppi
886,H85092,08R,0.15774843641417652,0.9648920863309353,I,A,ppi
883,H85656,08R,0.1564245810055866,0.963021582733813,con,con,ppi
887,H85019,08T,0.1644867221561633,0.9739568345323741,I,B,ppi
889,H85032,08T,0.1696969696969697,0.98,I,A,ppi
888,H85662,08T,0.11483594864479316,0.8205755395683453,con,con,ppi
891,F84054,08V,0.11343893714869699,0.8110791366906475,I,B,ppi
897,F84062,08V,0.14379590258987243,0.9425899280575539,I,B,ppi
890,F84079,08V,0.125642490005711,0.8833093525179856,con,con,ppi
895,F84087,08V,0.12474849094567404,0.8784172661870504,I,A,ppi
892,F84122,08V,0.13902900378310215,0.9290647482014388,con,con,ppi
896,F84123,08V,0.11464585834333733,0.8185611510791367,con,con,ppi
893,F84647,08V,0.15934959349593497,0.9677697841726619,I,A,ppi
898,F84682,08V,0.14316469321851452,0.9411510791366906,con,con,ppi
894,F84710,08V,0.11463046757164404,0.8184172661870504,con,con,ppi
899,F86001,08W,0.1256890848952591,0.8835971223021583,con,con,ppi
901,F86004,08W,0.1270941652224148,0.8912230215827338,con,con,ppi
919,F86005,08W,0.1278600269179004,0.8945323741007194,con,con,ppi
909,F86011,08W,0.1284748309541698,0.897410071942446,con,con,ppi
916,F86018,08W,0.1556420233463035,0.9620143884892086,I,B,ppi
913,F86026,08W,0.19133192389006343,0.9917985611510791,con,con,ppi
911,F86030,08W,0.11712707182320442,0.8366906474820144,con,con,ppi
904,F86036,08W,0.1581501570082786,0.9653237410071942,I,A,ppi
918,F86044,08W,0.11984536082474227,0.8515107913669064,I,B,ppi
905,F86045,08W,0.11627906976744186,0.8287769784172662,con,con,ppi
910,F86074,08W,0.11296296296296296,0.8082014388489208,I,A,ppi
917,F86078,08W,0.12661637931034483,0.8896402877697842,con,con,ppi
907,F86626,08W,0.11853720050441362,0.8446043165467626,con,con,ppi
908,F86627,08W,0.11270638908829864,0.8060431654676259,I,B,ppi
912,F86644,08W,0.12624728850325379,0.8873381294964029,I,A,ppi
906,F86689,08W,0.16944444444444445,0.9794244604316547,I,B,ppi
914,F86700,08W,0.1330532212885154,0.9120863309352518,I,A,ppi
915,F86705,08W,0.13360323886639677,0.9141007194244605,con,con,ppi
903,F86708,08W,0.21176470588235294,0.9955395683453238,con,con,ppi
900,F86712,08W,0.11192660550458716,0.800863309352518,I,A,ppi
902,Y01291,08W,0.1281720430107527,0.8959712230215827,I,B,ppi
923,H85005,08X,0.17808695652173914,0.9860431654676259,con,con,ppi
931,H85007,08X,0.14756828780812792,0.9506474820143885,con,con,ppi
926,H85011,08X,0.14187530682376043,0.936978417266187,I,A,ppi
928,H85041,08X,0.1255497800879648,0.8828776978417266,I,A,ppi
924,H85045,08X,0.13292589763177998,0.9116546762589928,I,B,ppi
925,H85049,08X,0.11721611721611722,0.837410071942446,con,con,ppi
929,H85066,08X,0.1270632201806291,0.8910791366906475,con,con,ppi
930,H85077,08X,0.15434924787442772,0.960431654676259,I,A,ppi
921,H85082,08X,0.12319644839067703,0.8702158273381295,con,con,ppi
932,H85114,08X,0.12339331619537275,0.8712230215827338,I,B,ppi
922,H85637,08X,0.1487964989059081,0.9529496402877697,I,B,ppi
920,Y01132,08X,0.1224007561436673,0.8658992805755396,I,A,ppi
927,Y02423,08X,0.11844764856488343,0.8441726618705035,con,con,ppi
936,E87004,08Y,0.11861198738170348,0.8453237410071942,I,A,ppi
942,E87016,08Y,0.11415220293724966,0.8142446043165468,I,B,ppi
941,E87021,08Y,0.121765601217656,0.8621582733812949,con,con,ppi
934,E87029,08Y,0.13206388206388206,0.9086330935251798,I,B,ppi
939,E87065,08Y,0.1437908496732026,0.9424460431654677,con,con,ppi
935,E87665,08Y,0.11428571428571428,0.8159712230215828,con,con,ppi
943,E87701,08Y,0.1151468315301391,0.8224460431654677,con,con,ppi
938,E87735,08Y,0.17142857142857143,0.9814388489208633,I,A,ppi
937,E87751,08Y,0.1357254290171607,0.9201438848920863,con,con,ppi
940,E87762,08Y,0.23076923076923078,0.9972661870503597,I,B,ppi
933,Y00507,08Y,0.112,0.8018705035971223,con,con,ppi
950,E87008,09A,0.11660188784008883,0.8329496402877697,con,con,ppi
947,E87052,09A,0.11206896551724138,0.8020143884892086,I,B,ppi
951,E87681,09A,0.15720263000597728,0.9638848920863309,I,A,ppi
949,E87714,09A,0.11186440677966102,0.8,I,A,ppi
948,E87737,09A,0.1438223938223938,0.9428776978417266,con,con,ppi
944,E87741,09A,0.12448132780082988,0.8762589928057554,con,con,ppi
945,E87754,09A,0.16312056737588654,0.9725179856115108,I,B,ppi
946,Y00902,09A,0.13538205980066445,0.9189928057553957,con,con,ppi
952,G82142,09C,0.12213422259274698,0.8648920863309353,I,A,ppi
954,G81036,09D,0.1560734463276836,0.9623021582733813,I,A,ppi
953,G81042,09D,0.112401300510915,0.803884892086331,con,con,ppi
960,G81075,09D,0.12295355830270631,0.8687769784172662,I,A,ppi
955,G81076,09D,0.12225121133060007,0.865179856115108,con,con,ppi
956,G81090,09D,0.14376321353065538,0.9423021582733813,I,B,ppi
958,G81103,09D,0.11521547933157432,0.8227338129496403,I,B,ppi
957,G81684,09D,0.1281645569620253,0.8958273381294964,con,con,ppi
959,G81694,09D,0.13728813559322034,0.9248920863309352,con,con,ppi
961,G82027,09E,0.11472760849492152,0.819568345323741,I,A,ppi
962,G81098,09F,0.12154696132596685,0.860863309352518,I,B,ppi
977,H82006,09G,0.13437195715676728,0.9156834532374101,I,B,ppi
963,H82007,09G,0.11199181794937356,0.8015827338129496,I,B,ppi
971,H82011,09G,0.11225422953818015,0.8028776978417266,I,A,ppi
970,H82013,09G,0.12144386662587947,0.8601438848920864,con,con,ppi
976,H82021,09G,0.11373165618448637,0.8129496402877698,con,con,ppi
969,H82022,09G,0.12459123610202746,0.8769784172661871,I,A,ppi
978,H82023,09G,0.11769513690232938,0.8402877697841726,con,con,ppi
975,H82034,09G,0.11881606765327696,0.8467625899280575,I,B,ppi
974,H82042,09G,0.11540130151843818,0.823884892086331,con,con,ppi
964,H82043,09G,0.1187168476888103,0.8458992805755395,con,con,ppi
973,H82045,09G,0.13792456370801276,0.9261870503597123,I,A,ppi
972,H82048,09G,0.12348367029548989,0.8713669064748202,con,con,ppi
966,H82051,09G,0.12972972972972974,0.9020143884892087,con,con,ppi
967,H82061,09G,0.12301804264625478,0.8689208633093525,I,B,ppi
968,H82087,09G,0.136327185244587,0.9220143884892086,con,con,ppi
965,H82091,09G,0.11911064055055585,0.8479136690647482,I,A,ppi
979,H82025,09H,0.123125,0.8696402877697842,I,B,ppi
983,H82047,09H,0.12159053565560303,0.8610071942446044,I,A,ppi
980,H82050,09H,0.11207430340557276,0.802158273381295,con,con,ppi
982,H82064,09H,0.11581676750216076,0.8258992805755395,con,con,ppi
981,H82098,09H,0.13560975609756099,0.9198561151079137,I,A,ppi
992,G82021,09J,0.12678153584343757,0.8902158273381295,con,con,ppi
990,G82044,09J,0.11681508643268727,0.8346762589928057,con,con,ppi
991,G82073,09J,0.12370189370800244,0.8726618705035971,I,A,ppi
987,G82097,09J,0.12276644944292621,0.8676258992805755,I,B,ppi
988,G82122,09J,0.12427097353073127,0.8749640287769784,con,con,ppi
989,G82185,09J,0.12917222963951935,0.8997122302158274,I,B,ppi
984,G82206,09J,0.12009803921568628,0.8522302158273382,con,con,ppi
985,G82218,09J,0.11650485436893204,0.8312230215827339,I,B,ppi
986,G82639,09J,0.11894882434301521,0.8471942446043166,con,con,ppi
993,G82808,09J,0.1223717409587889,0.8657553956834533,I,A,ppi
997,H81005,09L,0.1363251481795089,0.9218705035971223,I,A,ppi
994,H81037,09L,0.11409395973154363,0.8138129496402877,con,con,ppi
998,H81055,09L,0.14247491638795987,0.938705035971223,con,con,ppi
996,H81056,09L,0.14277144571085784,0.939568345323741,con,con,ppi
995,H81058,09L,0.12029481442484864,0.8529496402877698,I,B,ppi
1001,H81026,09N,0.11545566502463055,0.8241726618705036,con,con,ppi
1002,H81064,09N,0.11458333333333333,0.8181294964028777,I,A,ppi
999,H81076,09N,0.11970292704237659,0.8512230215827338,con,con,ppi
1000,H81085,09N,0.11459227467811159,0.8182733812949641,I,B,ppi
1005,G82011,09W,0.12522202486678508,0.8810071942446043,I,A,ppi
1019,G82051,09W,0.12088309808179515,0.8558273381294964,I,B,ppi
1025,G82077,09W,0.12612844983234459,0.8866187050359712,I,B,ppi
1017,G82095,09W,0.12048192771084337,0.8539568345323741,I,A,ppi
1018,G82123,09W,0.14179719703215168,0.9366906474820144,con,con,ppi
1023,G82133,09W,0.12111468381564845,0.857410071942446,I,A,ppi
1008,G82161,09W,0.16491754122938532,0.9748201438848921,con,con,ppi
1007,G82162,09W,0.12386917188587335,0.8733812949640288,I,B,ppi
1010,G82184,09W,0.11494252873563218,0.8214388489208633,con,con,ppi
1015,G82226,09W,0.13695871097683787,0.9233093525179856,I,A,ppi
1020,G82233,09W,0.15012023359670215,0.9549640287769784,con,con,ppi
1004,G82635,09W,0.1168032786885246,0.8343884892086331,con,con,ppi
1016,G82653,09W,0.14864864864864866,0.9523741007194244,con,con,ppi
1012,G82679,09W,0.14868641699273338,0.9525179856115108,con,con,ppi
1009,G82697,09W,0.11239860950173812,0.8037410071942446,I,B,ppi
1014,G82704,09W,0.12325220093215951,0.8705035971223022,con,con,ppi
1006,G82706,09W,0.28050314465408804,0.9995683453237411,con,con,ppi
1021,G82708,09W,0.15548539857932123,0.961726618705036,I,A,ppi
1022,G82711,09W,0.16530278232405893,0.9753956834532375,con,con,ppi
1024,G82719,09W,0.11688311688311688,0.8349640287769784,con,con,ppi
1003,G82744,09W,0.14533965244865718,0.9464748201438848,I,B,ppi
1013,G82775,09W,0.14262023217247097,0.9389928057553957,I,B,ppi
1011,G82820,09W,0.14455445544554454,0.944748201438849,I,A,ppi
1030,H82004,09X,0.11639344262295082,0.8300719424460432,con,con,ppi
1036,H82010,09X,0.12422680412371134,0.874820143884892,con,con,ppi
1033,H82028,09X,0.11897590361445783,0.8473381294964029,I,A,ppi
1028,H82035,09X,0.18236301369863014,0.9883453237410071,con,con,ppi
1032,H82040,09X,0.11917606669936243,0.8486330935251799,con,con,ppi
1026,H82056,09X,0.13290229885057472,0.9113669064748201,con,con,ppi
1037,H82057,09X,0.13151544401544402,0.9073381294964029,I,A,ppi
1027,H82063,09X,0.12202380952380952,0.8641726618705036,I,B,ppi
1039,H82072,09X,0.19111570247933884,0.9916546762589928,I,A,ppi
1034,H82092,09X,0.11444577831132453,0.816978417266187,con,con,ppi
1035,H82100,09X,0.13724137931034483,0.9244604316546763,I,B,ppi
1038,H82615,09X,0.13116420945602442,0.9056115107913669,con,con,ppi
1029,H82621,09X,0.14695077149155034,0.9493525179856115,I,A,ppi
1031,H82640,09X,0.15152271592611083,0.9568345323741008,I,B,ppi
1042,H81007,09Y,0.11629845769070446,0.8293525179856115,con,con,ppi
1046,H81015,09Y,0.14214827787507298,0.937841726618705,con,con,ppi
1048,H81019,09Y,0.12279226240538267,0.8679136690647482,con,con,ppi
1043,H81020,09Y,0.12097031599106288,0.8562589928057553,I,B,ppi
1040,H81024,09Y,0.13906040268456377,0.9293525179856115,con,con,ppi
1041,H81032,09Y,0.13871308016877637,0.9276258992805756,I,A,ppi
1047,H81079,09Y,0.16232127838519764,0.9716546762589928,I,B,ppi
1044,H81094,09Y,0.1140241364960466,0.8136690647482014,con,con,ppi
1045,H81131,09Y,0.169,0.9788489208633093,I,A,ppi
1051,G82007,10A,0.13323170731707318,0.9128057553956834,con,con,ppi
1053,G82018,10A,0.14126016260162602,0.935251798561151,con,con,ppi
1050,G82211,10A,0.1323594510845507,0.9099280575539568,I,B,ppi
1049,G82217,10A,0.1419491525423729,0.9371223021582734,con,con,ppi
1052,G82652,10A,0.12102874432677761,0.8566906474820144,I,B,ppi
1054,G82696,10A,0.12479338842975207,0.8789928057553957,I,A,ppi
1056,H81013,10C,0.11646719858156028,0.8305035971223022,I,A,ppi
1055,H81130,10C,0.12162162162162163,0.861294964028777,con,con,ppi
1057,G82026,10D,0.14743840438013298,0.9503597122302159,con,con,ppi
1059,G82035,10D,0.12208189820130119,0.8647482014388489,con,con,ppi
1063,G82057,10D,0.1615326821938392,0.9706474820143884,con,con,ppi
1060,G82175,10D,0.16901408450704225,0.9789928057553957,I,A,ppi
1061,G82231,10D,0.14041297935103245,0.9336690647482014,con,con,ppi
1062,G82791,10D,0.20211693548387097,0.9935251798561151,I,B,ppi
1058,G82799,10D,0.11691259931895573,0.8355395683453237,I,B,ppi
1064,G82650,10E,0.13178511471740348,0.9079136690647482,con,con,ppi
1069,K82001,10H,0.1431240657698057,0.9408633093525179,I,A,ppi
1066,K82008,10H,0.12446657183499289,0.8761151079136691,con,con,ppi
1065,K82011,10H,0.1333872271624899,0.9130935251798561,I,A,ppi
1067,K82012,10H,0.13385826771653545,0.9148201438848921,I,B,ppi
1068,K82049,10H,0.12575006522306287,0.8841726618705036,con,con,ppi
1070,J82083,10K,0.12265861027190332,0.8666187050359713,con,con,ppi
1071,J82154,10K,0.11502500543596433,0.8217266187050359,I,A,ppi
1074,J84008,10L,0.15025906735751296,0.9555395683453237,con,con,ppi
1072,J84017,10L,0.12151652624756967,0.8605755395683453,con,con,ppi
1073,J84018,10L,0.12622088655146507,0.8870503597122302,I,A,ppi
1075,K81034,10T,0.15691672401927048,0.9633093525179857,I,A,ppi
1076,K81089,10T,0.12786885245901639,0.8946762589928058,con,con,ppi
1077,J82009,10V,0.12193080357142858,0.863453237410072,I,A,ppi
1078,J82021,10V,0.11260744985673353,0.8053237410071943,con,con,ppi
1079,J82210,10V,0.13801518438177873,0.9264748201438849,I,B,ppi
1085,J82002,10X,0.12040990606319385,0.8535251798561151,con,con,ppi
1086,J82040,10X,0.13466812945693912,0.9162589928057554,I,A,ppi
1080,J82101,10X,0.11190108191653787,0.800431654676259,I,B,ppi
1083,J82128,10X,0.12648383135489152,0.8889208633093525,con,con,ppi
1081,J82141,10X,0.11270826527278667,0.8061870503597123,con,con,ppi
1084,J82180,10X,0.1158422041327489,0.8261870503597122,I,A,ppi
1087,J82207,10X,0.11637728765837635,0.8299280575539568,con,con,ppi
1088,J82208,10X,0.12436363636363636,0.8753956834532374,I,B,ppi
1082,J82663,10X,0.1724137931034483,0.9828776978417266,I,B,ppi
1092,J82016,11A,0.12578616352201258,0.88431654676259,I,B,ppi
1106,J82017,11A,0.11524609843937575,0.8228776978417266,I,B,ppi
1097,J82019,11A,0.125,0.879568345323741,con,con,ppi
1093,J82020,11A,0.11961722488038277,0.8505035971223022,con,con,ppi
1100,J82029,11A,0.16402274768033523,0.9735251798561151,I,B,ppi
1090,J82039,11A,0.1440329218106996,0.9431654676258993,I,A,ppi
1108,J82056,11A,0.12153400469030211,0.8607194244604317,I,B,ppi
1107,J82059,11A,0.16507276507276508,0.9749640287769784,con,con,ppi
1098,J82064,11A,0.12043490381934764,0.8536690647482015,I,A,ppi
1094,J82089,11A,0.1254434053531119,0.8823021582733813,I,A,ppi
1102,J82097,11A,0.1573997233748271,0.9641726618705035,I,A,ppi
1105,J82129,11A,0.13147792706333974,0.9069064748201439,con,con,ppi
1096,J82131,11A,0.11254806011883957,0.8048920863309352,I,A,ppi
1089,J82139,11A,0.14950552646887724,0.9539568345323741,con,con,ppi
1091,J82150,11A,0.13877281724213766,0.9282014388489208,con,con,ppi
1099,J82156,11A,0.15091383812010445,0.956115107913669,con,con,ppi
1104,J82166,11A,0.1476330569671035,0.9507913669064748,I,B,ppi
1101,J82169,11A,0.13536076326774002,0.918705035971223,con,con,ppi
1103,J82188,11A,0.20419254658385094,0.9936690647482015,con,con,ppi
1095,J82192,11A,0.13368055555555555,0.9145323741007194,con,con,ppi
1109,K81018,11C,0.17705323978539,0.9853237410071942,con,con,ppi
1110,K81066,11C,0.11308973172987974,0.8086330935251799,I,B,ppi
1111,K81084,11C,0.11919286719849835,0.8487769784172662,con,con,ppi
1125,L81020,11E,0.18459191456903126,0.9896402877697842,I,B,ppi
1117,L81025,11E,0.14985250737463127,0.9545323741007194,I,B,ppi
1115,L81027,11E,0.14601769911504425,0.9476258992805755,I,A,ppi
1112,L81039,11E,0.19001297016861218,0.9912230215827338,con,con,ppi
1122,L81045,11E,0.1557305336832896,0.962158273381295,con,con,ppi
1126,L81049,11E,0.18457831325301205,0.9894964028776978,con,con,ppi
1114,L81065,11E,0.14018264840182648,0.9329496402877698,con,con,ppi
1113,L81068,11E,0.12251968503937008,0.8663309352517986,I,A,ppi
1124,L81069,11E,0.11706881143878463,0.8364028776978417,con,con,ppi
1121,L81070,11E,0.13705275924802912,0.9240287769784172,I,B,ppi
1123,L81071,11E,0.16966966966966968,0.979568345323741,I,A,ppi
1120,L81073,11E,0.12654502648616833,0.8893525179856115,con,con,ppi
1119,L81080,11E,0.11855203619909502,0.8447482014388489,I,B,ppi
1118,L81101,11E,0.1251497005988024,0.8802877697841727,con,con,ppi
1116,L81122,11E,0.12905405405405404,0.899136690647482,con,con,ppi
1144,L81009,11H,0.1232583065380493,0.8706474820143885,I,A,ppi
1136,L81012,11H,0.13363914373088684,0.9142446043165467,I,A,ppi
1147,L81013,11H,0.12704686617730096,0.8909352517985611,con,con,ppi
1140,L81022,11H,0.12697674418604651,0.8906474820143885,I,A,ppi
1135,L81032,11H,0.1364180295173514,0.9223021582733812,con,con,ppi
1132,L81035,11H,0.1469107551487414,0.9492086330935252,I,B,ppi
1128,L81037,11H,0.11699826989619377,0.836115107913669,I,B,ppi
1143,L81053,11H,0.13486966377030601,0.9172661870503597,con,con,ppi
1138,L81061,11H,0.12203791469194313,0.8644604316546762,I,B,ppi
1141,L81077,11H,0.142647777234978,0.9392805755395683,con,con,ppi
1134,L81078,11H,0.11427486712224753,0.8156834532374101,I,A,ppi
1133,L81081,11H,0.1157943492357573,0.8257553956834532,con,con,ppi
1146,L81082,11H,0.12539626629094752,0.8815827338129496,I,B,ppi
1139,L81083,11H,0.12359932088285229,0.8722302158273382,con,con,ppi
1145,L81084,11H,0.12798165137614678,0.8953956834532374,con,con,ppi
1142,L81089,11H,0.12180814354727398,0.8623021582733813,I,A,ppi
1137,L81090,11H,0.13710302091402013,0.9241726618705036,con,con,ppi
1130,L81112,11H,0.13206349206349208,0.9084892086330936,I,B,ppi
1127,L81120,11H,0.1328555678059537,0.9110791366906474,con,con,ppi
1131,L81125,11H,0.11475409836065574,0.82,con,con,ppi
1129,L81669,11H,0.1223021582733813,0.8654676258992806,con,con,ppi
1156,J81002,11J,0.12587805563360493,0.8848920863309353,con,con,ppi
1159,J81010,11J,0.13829787234042554,0.9269064748201439,I,B,ppi
1148,J81036,11J,0.12356621480709072,0.8719424460431655,con,con,ppi
1154,J81044,11J,0.12137285491419657,0.8598561151079137,con,con,ppi
1151,J81046,11J,0.1214574898785425,0.8602877697841727,I,A,ppi
1153,J81053,11J,0.12318220701454234,0.8700719424460431,I,B,ppi
1149,J81054,11J,0.11251314405888538,0.8044604316546763,I,B,ppi
1152,J81056,11J,0.12123613312202852,0.8585611510791367,con,con,ppi
1157,J81058,11J,0.1659154929577465,0.9758273381294964,I,A,ppi
1158,J81074,11J,0.11503267973856209,0.8220143884892086,con,con,ppi
1150,J81077,11J,0.1279439847231063,0.8952517985611511,con,con,ppi
1155,J81081,11J,0.12655753725873442,0.8894964028776978,I,A,ppi
1167,L84003,11M,0.14710180224062347,0.9497841726618705,con,con,ppi
1162,L84008,11M,0.1142433234421365,0.8153956834532374,I,B,ppi
1168,L84011,11M,0.17022132796780684,0.9805755395683453,I,B,ppi
1171,L84013,11M,0.11466165413533834,0.8188489208633094,con,con,ppi
1169,L84015,11M,0.15955601803676725,0.9680575539568346,con,con,ppi
1161,L84020,11M,0.13818321785989224,0.9266187050359712,con,con,ppi
1160,L84022,11M,0.11849056603773585,0.8444604316546762,I,B,ppi
1164,L84023,11M,0.11691348402182385,0.8356834532374101,I,A,ppi
1170,L84025,11M,0.1549407114624506,0.961294964028777,I,A,ppi
1163,L84030,11M,0.13549337260677466,0.9192805755395683,con,con,ppi
1180,L84031,11M,0.12803398058252427,0.8955395683453238,I,B,ppi
1173,L84036,11M,0.13089937666963491,0.9044604316546763,con,con,ppi
1177,L84037,11M,0.12192262602579132,0.8633093525179856,con,con,ppi
1165,L84047,11M,0.12903225806451613,0.8988489208633094,con,con,ppi
1178,L84060,11M,0.11645653616456536,0.8302158273381295,I,B,ppi
1172,L84065,11M,0.12100344318740777,0.856546762589928,I,A,ppi
1179,L84067,11M,0.11316648531011969,0.8092086330935252,con,con,ppi
1175,L84068,11M,0.12059471365638766,0.8548201438848921,con,con,ppi
1166,L84069,11M,0.12421317666806546,0.8746762589928058,I,B,ppi
1174,L84081,11M,0.1153421633554084,0.8234532374100719,I,A,ppi
1181,L84615,11M,0.13948256467941508,0.9312230215827338,con,con,ppi
1176,Y05212,11M,0.12605042016806722,0.8858992805755396,I,A,ppi
1192,L82004,11N,0.13745271122320302,0.9253237410071943,con,con,ppi
1189,L82012,11N,0.11447419480015522,0.8172661870503597,I,A,ppi
1191,L82014,11N,0.12518853695324283,0.8807194244604316,I,B,ppi
1190,L82022,11N,0.1212474497231128,0.8588489208633093,con,con,ppi
1186,L82023,11N,0.1207832812242883,0.8553956834532375,con,con,ppi
1188,L82035,11N,0.12386215864759428,0.8732374100719424,con,con,ppi
1182,L82043,11N,0.19733185102834908,0.9929496402877698,con,con,ppi
1194,L82047,11N,0.11856243052982586,0.8450359712230215,con,con,ppi
1187,L82052,11N,0.11321890996687745,0.8096402877697841,I,B,ppi
1185,L82056,11N,0.14554621848739496,0.9467625899280575,I,A,ppi
1184,L82057,11N,0.11595394736842106,0.8271942446043166,con,con,ppi
1183,L82066,11N,0.14066033469018543,0.934388489208633,I,B,ppi
1193,L82620,11N,0.13141809290953546,0.9066187050359712,I,A,ppi
1195,L81004,11T,0.13204633204633204,0.9083453237410072,con,con,ppi
1196,L81016,11T,0.12859560067681894,0.897841726618705,I,B,ppi
1200,L81058,11T,0.11815718157181572,0.8428776978417266,I,A,ppi
1198,L81085,11T,0.11306042884990253,0.8084892086330935,I,B,ppi
1197,L81102,11T,0.11751662971175167,0.8388489208633093,con,con,ppi
1199,L81600,11T,0.12103465104929234,0.8568345323741007,con,con,ppi
1201,L85020,11X,0.12203604173253241,0.86431654676259,con,con,ppi
1206,L81018,12A,0.12074303405572756,0.8551079136690648,I,A,ppi
1203,L81024,12A,0.11628492323181475,0.8289208633093526,con,con,ppi
1202,L81026,12A,0.13926084627745045,0.9305035971223021,I,A,ppi
1210,L81029,12A,0.17063633131887665,0.980863309352518,I,B,ppi
1215,L81036,12A,0.13097284290134067,0.9050359712230216,con,con,ppi
1214,L81042,12A,0.19488817891373802,0.9926618705035971,I,B,ppi
1212,L81046,12A,0.17228103946102022,0.9827338129496402,I,A,ppi
1207,L81050,12A,0.12185996793158739,0.8627338129496402,con,con,ppi
1205,L81055,12A,0.1251696065128901,0.880431654676259,con,con,ppi
1208,L81103,12A,0.1214701927386822,0.860431654676259,I,B,ppi
1211,L81118,12A,0.11440516913721019,0.8165467625899281,con,con,ppi
1213,L81127,12A,0.11876317638791287,0.8461870503597122,con,con,ppi
1204,L81642,12A,0.11416921508664628,0.8145323741007194,I,B,ppi
1209,L81649,12A,0.13761467889908258,0.9256115107913669,con,con,ppi
1223,J83009,12D,0.13634925656437835,0.922158273381295,con,con,ppi
1220,J83022,12D,0.1422271223814774,0.9379856115107914,I,A,ppi
1224,J83024,12D,0.11488439306358382,0.8211510791366906,I,A,ppi
1216,J83027,12D,0.12185089974293059,0.862589928057554,I,B,ppi
1218,J83031,12D,0.1468503937007874,0.9490647482014388,I,B,ppi
1221,J83036,12D,0.12533068783068782,0.8814388489208633,con,con,ppi
1222,J83063,12D,0.17262265293761356,0.9833093525179856,I,A,ppi
1219,J83633,12D,0.11657559198542805,0.8323741007194244,con,con,ppi
1217,Y00058,12D,0.11754537597234227,0.8392805755395684,con,con,ppi
1235,N85001,12F,0.12691326530612246,0.8903597122302158,I,B,ppi
1246,N85002,12F,0.16094172134311077,0.9696402877697842,con,con,ppi
1228,N85005,12F,0.1477088948787062,0.9509352517985612,con,con,ppi
1242,N85006,12F,0.1579630230295167,0.9650359712230215,con,con,ppi
1230,N85007,12F,0.12455621301775148,0.8766906474820144,con,con,ppi
1263,N85008,12F,0.16663410822426256,0.9766906474820144,I,B,ppi
1232,N85009,12F,0.17192331478045764,0.9821582733812949,con,con,ppi
1248,N85012,12F,0.1574709215627796,0.9644604316546762,con,con,ppi
1253,N85013,12F,0.1762980346142564,0.9848920863309353,I,B,ppi
1252,N85014,12F,0.23212258796821794,0.9975539568345324,con,con,ppi
1233,N85015,12F,0.13174946004319654,0.9077697841726619,I,B,ppi
1249,N85016,12F,0.12303760496531581,0.8692086330935251,I,A,ppi
1261,N85017,12F,0.1207614515169542,0.8552517985611511,I,B,ppi
1251,N85018,12F,0.1602155805977462,0.9687769784172662,I,A,ppi
1227,N85019,12F,0.12444279346210996,0.8758273381294964,I,B,ppi
1239,N85020,12F,0.15187239944521497,0.9575539568345324,I,B,ppi
1237,N85021,12F,0.13537675606641125,0.9188489208633094,I,B,ppi
1241,N85023,12F,0.13547802446760307,0.919136690647482,I,A,ppi
1238,N85024,12F,0.125,0.879568345323741,con,con,ppi
1229,N85025,12F,0.1588732394366197,0.9667625899280575,I,B,ppi
1260,N85027,12F,0.1372495196266813,0.9246043165467626,con,con,ppi
1231,N85028,12F,0.13937423811458757,0.9309352517985612,I,A,ppi
1257,N85032,12F,0.15556635877491493,0.9618705035971223,I,A,ppi
1244,N85034,12F,0.16868052199130015,0.978705035971223,con,con,ppi
1225,N85037,12F,0.1277258566978193,0.8939568345323741,I,A,ppi
1264,N85040,12F,0.12550607287449392,0.882589928057554,con,con,ppi
1258,N85044,12F,0.18227360308285165,0.9882014388489209,con,con,ppi
1245,N85047,12F,0.1710914454277286,0.9811510791366906,I,A,ppi
1240,N85048,12F,0.20823798627002288,0.9945323741007194,con,con,ppi
1254,N85052,12F,0.12267657992565056,0.8669064748201439,con,con,ppi
1226,N85053,12F,0.15636042402826855,0.9627338129496403,con,con,ppi
1243,N85054,12F,0.13884892086330936,0.9284892086330935,I,B,ppi
1236,N85059,12F,0.1615798922800718,0.9707913669064748,con,con,ppi
1234,N85616,12F,0.16711409395973154,0.9776978417266187,con,con,ppi
1256,N85620,12F,0.15446224256292906,0.9605755395683453,con,con,ppi
1259,N85629,12F,0.12651933701657458,0.8890647482014389,I,A,ppi
1265,N85634,12F,0.11371841155234658,0.8125179856115108,I,A,ppi
1255,N85640,12F,0.13488372093023257,0.9174100719424461,I,A,ppi
1247,N85643,12F,0.19858156028368795,0.9930935251798562,I,A,ppi
1250,N85648,12F,0.22126745435016112,0.9968345323741007,con,con,ppi
1262,Y02162,12F,0.11801242236024845,0.8420143884892086,con,con,ppi
1267,M85028,13P,0.11660541262946876,0.8330935251798561,con,con,ppi
1266,M85066,13P,0.11548442906574395,0.8243165467625899,I,A,ppi
1268,A85021,13T,0.13090909090909092,0.9046043165467625,I,A,ppi
